Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","768","Togo","5110","Area","6600","Country area","2023","2023","1000 ha","5679","I","Value imputed by a receiving agency",""
"RL","Land Use","772","Tokelau","5110","Area","6600","Country area","2023","2023","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","776","Tonga","5110","Area","6600","Country area","2023","2023","1000 ha","75","I","Value imputed by a receiving agency",""
"RL","Land Use","780","Trinidad and Tobago","5110","Area","6600","Country area","2023","2023","1000 ha","513","I","Value imputed by a receiving agency",""
"RL","Land Use","788","Tunisia","5110","Area","6600","Country area","2023","2023","1000 ha","16361","I","Value imputed by a receiving agency",""
"RL","Land Use","792","Türkiye","5110","Area","6600","Country area","2023","2023","1000 ha","78535","A","Official figure",""
"RL","Land Use","795","Turkmenistan","5110","Area","6600","Country area","2023","2023","1000 ha","49120.9","I","Value imputed by a receiving agency",""
"RL","Land Use","796","Turks and Caicos Islands","5110","Area","6600","Country area","2023","2023","1000 ha","95","I","Value imputed by a receiving agency",""
"RL","Land Use","798","Tuvalu","5110","Area","6600","Country area","2023","2023","1000 ha","3","I","Value imputed by a receiving agency",""
"RL","Land Use","800","Uganda","5110","Area","6600","Country area","2023","2023","1000 ha","24155","I","Value imputed by a receiving agency",""
"RL","Land Use","804","Ukraine","5110","Area","6600","Country area","2023","2023","1000 ha","60355","A","Official figure",""
"RL","Land Use","784","United Arab Emirates","5110","Area","6600","Country area","2023","2023","1000 ha","9864.79","I","Value imputed by a receiving agency",""
"RL","Land Use","826","United Kingdom of Great Britain and Northern Ireland","5110","Area","6600","Country area","2023","2023","1000 ha","24361","A","Official figure",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6600","Country area","2023","2023","1000 ha","94730","I","Value imputed by a receiving agency",""
